,AFG,,,ALB,DZA,AGO,,ARG,ARM,,,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BOL,BIH,,BRA,BGR,BFA,BDI,,KHM,CMR,CAN,,CAF,TCD,CHL,CHN,,,,COL,COG,CRI,,HRV,CUB,CYP,CZE,,COD,DNK,DJI,DOM,,ECU,,EGY,SLV,GNQ,EST,ETH,,,,FJI,FIN,,,,,,,,,,,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GLP,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KWT,KGZ,,LAO,LVA,LBN,LBR,LBY,LTU,MDG,MWI,MYS,MLI,MLT,MRT,MUS,MEX,MNG,MAR,MOZ,MMR,NPL,,NLD,,,NZL,NIC,NER,NGA,NOR,,OMN,,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,MDA,ROU,RUS,RWA,WSM,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SOM,ZAF,ESP,LKA,SHN,,,SDN,SUR,SWE,CHE,SYR,,TJK,TZA,MKD,THA,TGO,TTO,TUN,TUR,TKM,UGA,GBR,UKR,ARE,URY,,USA,UZB,VEN,VNM,,YEM,,ZMB,ZWE
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUS,NA,NA,NA,441,34556,NA,NA,115820,NA,184861,NA,11038,349120,NA,8115,71387,186995,3707,870,1050819,NA,NA,1846,1493,4648,NA,738033,9060,NA,NA,NA,2355,NA,2200678,NA,NA,NA,158987,10569602,2622948,14722,NA,26118,NA,15065,6188,6989,4530,8248,92866,NA,NA,386680,NA,11786,NA,5736,NA,180560,3748,NA,NA,4034,NA,NA,NA,518256,743237,NA,NA,NA,NA,NA,NA,NA,6924,NA,2160208,NA,NA,NA,4686794,33521,NA,206449,NA,NA,6867,NA,NA,2732,NA,2900,75638,2689,NA,3363793,NA,411848,78380,667295,390766,3197197,21833,24170631,41400,6539,20912,53858,3950,8879865,282798,NA,NA,3337,5108,22383,NA,NA,1028,3314,3835,4179609,NA,10137,NA,56309,612624,NA,48811,NA,18191,4381,1817,1268550,NA,274244,5803919,NA,NA,43603,152213,NA,193171,NA,416813,12366,1333155,NA,69940,1200146,71592,124765,115783,NA,98416,186261,NA,66211,1839804,NA,NA,NA,4501845,15300,36860,NA,1212786,846563,179107,NA,3534,NA,NA,NA,1095008,858754,2088,5624611,NA,17147,2777,2865549,NA,20018,5802,366161,NA,9225,6487070,7716,930476,8245,77690,20935622,NA,NA,NA,NA,NA,NA,NA,NA
AUT,485,NA,NA,7041,295597,NA,NA,87828,NA,NA,NA,349120,NA,40301,NA,5893,58770,1332,52132,2471991,943,NA,NA,2335,175905,NA,469716,196555,519,NA,NA,13533,8607,897789,NA,NA,NA,63091,1584368,442855,14413,NA,41460,NA,26010,22121,713546,4070,33255,3180442,NA,NA,850259,NA,6031,NA,37032,NA,113919,8354,NA,44247,2951,NA,NA,NA,NA,1014275,NA,NA,NA,NA,NA,NA,NA,NA,NA,5494173,3223,NA,8400,45679701,23524,NA,347466,NA,NA,13018,17613,NA,NA,NA,8192,4225504,35896,NA,391662,NA,291631,323068,519462,217798,10342511,866,2674288,NA,363945,6229,NA,11870,560859,NA,NA,NA,NA,41062,18491,781,196933,56396,2998,1264,342079,2949,22260,NA,8487,319658,NA,59372,9142,6722,5998,5067,3014616,NA,1218,70415,6157,717,236973,322515,NA,10876,NA,52911,9541,NA,NA,29146,83912,1600060,546639,NA,9319,594829,995446,NA,NA,240904,8428,1198,4288,446171,1316223,1384061,NA,347617,2490621,24645,NA,4409,NA,7666,NA,1696166,4908869,74344,811223,3249,1855,46169,244476,NA,4832,58247,910632,17155,2457,4020642,273755,104554,7449,NA,6908902,NA,NA,NA,NA,NA,NA,NA,NA
AZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40301,NA,NA,NA,NA,NA,NA,9248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2297,NA,NA,NA,NA,4836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202903,NA,NA,NA,291039,NA,NA,10347,NA,NA,NA,NA,NA,NA,NA,NA,4912,NA,NA,NA,NA,236333,NA,2912,NA,471779,NA,7661,NA,55029,NA,NA,NA,4300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,726,NA,NA,NA,NA,NA,26241,4942,NA,NA,3316,276220,NA,NA,NA,NA,NA,NA,38912,312,2319,NA,NA,4213,NA,NA,NA,NA,NA,NA,NA,25842,NA,NA,NA,NA,NA,2458,NA,NA,NA,317051,NA,NA,60924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHS,NA,NA,NA,NA,NA,NA,NA,8866,NA,NA,NA,8115,NA,NA,NA,NA,NA,NA,NA,30797,NA,NA,NA,NA,NA,NA,26757,NA,NA,NA,NA,NA,NA,24651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591,NA,NA,6950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59316,NA,NA,NA,156726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3320,410,609243,NA,383125,NA,NA,NA,NA,NA,487734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48072,NA,NA,NA,NA,NA,NA,4841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4341,NA,NA,NA,NA,NA,NA,3165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123956,NA,NA,NA,5027,179637,NA,NA,NA,NA,NA,NA,NA,99204,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,NA,NA,103655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHR,NA,NA,NA,NA,NA,NA,NA,25575,NA,NA,NA,71387,5893,NA,NA,NA,NA,NA,NA,53125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12581,NA,NA,NA,NA,117116,36794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322263,NA,NA,NA,157776,NA,NA,10662,NA,NA,NA,NA,NA,NA,NA,NA,604,NA,NA,52420,NA,27576,NA,NA,NA,133368,NA,356608,NA,NA,NA,NA,NA,342915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79956,NA,NA,NA,NA,NA,NA,2839,NA,NA,NA,NA,56427,NA,NA,12534,NA,NA,NA,15174,NA,34496,NA,152694,NA,NA,NA,NA,8621,NA,6540,NA,NA,2397,NA,NA,NA,NA,NA,NA,NA,207855,NA,NA,NA,7503,35052,NA,NA,NA,NA,NA,NA,NA,68279,NA,NA,NA,NA,NA,81676,NA,NA,15484,53145,NA,NA,285672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGD,NA,NA,NA,NA,NA,NA,NA,134628,NA,NA,NA,186995,58770,NA,NA,NA,NA,NA,NA,278752,NA,NA,NA,NA,NA,NA,63303,2878,NA,NA,NA,NA,NA,199645,NA,NA,NA,2540,911628,159663,NA,NA,NA,NA,NA,NA,NA,NA,NA,12125,NA,NA,90471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40155,NA,NA,NA,NA,NA,NA,NA,NA,NA,553955,NA,NA,NA,880467,NA,NA,9785,NA,NA,NA,NA,NA,NA,NA,NA,10489,NA,NA,246078,NA,40856,NA,23127,NA,365443,NA,583359,NA,4728,NA,NA,NA,642665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162891,NA,NA,NA,NA,19007,NA,NA,NA,NA,NA,NA,276781,NA,NA,10350,NA,NA,NA,39334,NA,868,NA,174577,NA,NA,NA,NA,15361,17905,7196,NA,NA,4277,104891,NA,NA,NA,NA,NA,NA,863693,1499,2019,NA,6264,134808,NA,NA,NA,NA,NA,NA,90751,84152,NA,NA,NA,NA,NA,254480,NA,NA,9145,49398,NA,NA,677016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3707,1332,NA,NA,NA,NA,NA,NA,3310,NA,NA,NA,NA,NA,NA,22759,NA,NA,NA,NA,NA,NA,23675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1705,NA,NA,3386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16931,NA,NA,NA,20921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2679,219,5649,NA,35698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5132,NA,NA,NA,NA,NA,NA,9397,NA,NA,8677,NA,NA,NA,2574,NA,NA,NA,NA,NA,NA,NA,NA,4481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484,2215,NA,NA,NA,NA,NA,NA,3140,2425,NA,NA,NA,NA,NA,1449,NA,NA,NA,NA,NA,NA,99842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,870,52132,NA,NA,NA,NA,NA,NA,81787,NA,NA,NA,NA,NA,NA,73974,10590,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,111356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123807,NA,NA,55378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20320,NA,NA,NA,NA,NA,NA,NA,NA,NA,124905,NA,NA,NA,790987,NA,NA,8685,NA,NA,NA,NA,NA,NA,NA,NA,107055,NA,NA,NA,NA,NA,NA,3119,NA,203537,NA,9677,NA,52778,NA,NA,NA,25888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142237,NA,NA,NA,NA,NA,NA,8709,NA,NA,NA,NA,NA,NA,NA,NA,NA,370849,5386,NA,NA,27098,9299400,NA,NA,NA,NA,NA,NA,NA,22185,14250,NA,NA,26009,NA,NA,NA,NA,NA,NA,19739,21827,NA,NA,NA,NA,NA,6320,NA,NA,NA,24608,NA,NA,102879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEL,26260,NA,NA,7494,971553,713606,NA,537942,161407,NA,NA,1050819,2471991,9248,30797,53125,278752,3310,81787,NA,NA,42688,13889,6865,26330,NA,2131074,523242,11876,15867,NA,16566,184119,2126941,NA,176418,6363,249702,5096420,2050889,21341,NA,321077,66320,210480,301220,176155,34267,113355,1372438,NA,912538,2341489,7030,52765,NA,148226,NA,422233,20042,NA,124315,59051,NA,NA,NA,NA,1893987,NA,NA,NA,NA,NA,NA,NA,NA,NA,45892791,60368,28412,6185,56044428,107780,15535,1111447,1392,NA,64790,206286,9726,25374,9718,70726,1752094,91911,NA,1246141,NA,536541,59414,4695738,5952496,17274479,27275,6943799,103594,74702,75742,NA,15262,1664337,205545,1713,NA,16006,93673,255381,130818,117761,218463,53212,7456,984626,35844,117838,96012,95742,958366,4148,434107,26624,19348,11779,55925,44990475,NA,37189,363384,16614,NA,484675,2405804,3771,33168,NA,297480,110347,20982,2900,125114,260575,2306837,2663978,26292,11563,444137,2370459,14914,1933,628642,121805,4043,21526,1158800,363618,254320,NA,1685634,8294150,385859,NA,10956,NA,23540,7361,6035059,4413824,158471,1400722,6282,101963,112261,1527866,33514,12147,709278,2401638,8661,35913,30148994,310554,915790,34101,NA,24097587,NA,NA,NA,NA,NA,NA,NA,NA
